scheme_slug,scheme_name,question,answer
admptpfdap,Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently ,"What is the purpose of the ""Assistance for Delivery / Miscarriage of Pregnancy / Termination of Pregnancy to Female Differently Abled Person"" scheme in Tamil Nadu?","The ""Assistance for Delivery / Miscarriage of Pregnancy / Termination of Pregnancy to Female Differently Abled Person"" scheme in Tamil Nadu aims to provide support and financial assistance to women with disabilities during pregnancy, childbirth, and related medical conditions. The primary purpose of"
admptpfdap,Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently ,Who is eligible to benefit from the scheme?,"Female individuals with disabilities, registered residents of Tamil Nadu, are eligible to benefit from the scheme."
adow,Aamar Dukan On Wheels,What benefit does it provide to the unemployed youth through this scheme?,It will help in employment generation to most of the unemployed youth of the state.
adow,Aamar Dukan On Wheels,What is the utmost priority of the Government of Assam?,It is utmost priority of the Government of Assam to provide Essential Commodities as reasonable prices to the consumers.
adps,AlCTE - Distinguished Professional Scheme,What is the objective of the AICTE-Distinguished Professionals Scheme (DPS)?,The objective of the AICTE-Distinguished Professionals Scheme (DPS) is to utilize the expertise of highly qualified professionals to motivate and inspire students and faculty members of AICTE-approved institutes.
adps,AlCTE - Distinguished Professional Scheme,Who is eligible to apply for the DPS?,"Eligible applicants must have made unparalleled, exceptional technical/professional contributions to society in their respective fields/disciplines and be acknowledged leaders in their specializations."
ads,Ashadeepa Scheme,What is the Ashadeepa Scheme?,"The Ashadeepa Scheme is a government initiative launched in 2017–18 to encourage private sector employers in Karnataka to hire candidates belonging to Scheduled Caste (SC) and Scheduled Tribe (ST) categories, by offering financial reimbursements."
ads,Ashadeepa Scheme,Who implements the Ashadeepa Scheme?,The scheme is implemented by the Karnataka State Workers Welfare and Social Security (Ashadeepa Scheme) Society (R) under the Labour Department of Karnataka.
adthsg,Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,What is the purpose of the scheme?,"The ""Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides"" scheme provides free hostel accommodations for students from the Adi Dravidar and Tribal communities who are studying up to XII Standard."
adthsg,Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,Who is eligible for this scheme?,Students who belong to the Adi Dravidar or Tribal communities and are studying up to XII Standard are eligible for the scheme.
adtwdiap,Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes,What is the purpose of the scheme?,"The scheme ""Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes"" offers incentives to One Boy and One Girl each from Adi Dravidar/ Tribal/ Adi Dravidar Converted to Christianity who have secured highest mark who have achieved top marks in 10th and 12th standard examinations."
adtwdiap,Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes,Who is eligible to apply for this scheme?,"You can apply if you belong to the Adi Dravidar, Tribal, or Adi Dravidar (converted to Christianity) community and have secured the highest marks in your district's 10th or 12th standard exams."
adtwip,Adi Dravidar and Tribal Welfare Department: Incentive/Award of Prizes-For Each Subjects,What is the purpose of the scheme?,"The scheme offers cash awards to students from the Adi Dravidar, Tribal communities, and Adi Dravidar converts to Christianity for excelling in academic subjects in 10th and Plus 2 examinations."
adtwip,Adi Dravidar and Tribal Welfare Department: Incentive/Award of Prizes-For Each Subjects,Who is eligible to receive the incentive under this scheme?,"The scheme is open to students belonging to the Adi Dravidar, Tribal communities, or Adi Dravidar converts to Christianity who have passed the 10th or Plus 2 examinations."
adtwsfe,Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,What is the purpose of the scheme?,"This scheme provides free education for Adi Dravidar, Tribal and Adi Dravidar Converted to Christianity students up to 12th standard, covering tuition fees, which are reimbursed by the government."
adtwsfe,Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,Who is eligible for the scholarship?,"Students from the Adi Dravidar, Tribal, and Adi Dravidar Converted to Christianity communities are eligible."
adtwspe,Adi Dravidar and Tribal Welfare Department: Scholarship-Public Examination Fee for 10th and 12th Std,What is the purpose of the scheme?,"The scheme provides reimbursement of public examination fees for 10th and 12th standard students from the Adi Dravidar, Tribal, and Adi Dravidar Converted to Christianity communities, with no income limit."
adtwspe,Adi Dravidar and Tribal Welfare Department: Scholarship-Public Examination Fee for 10th and 12th Std,Who is eligible for the scholarship?,"Students belonging to the Adi Dravidar, Tribal, and Adi Dravidar Converted to Christianity communities are eligible."
adtwstb,Adi Dravidar and Tribal Welfare Department: Stationary-Text Books,What is the purpose of the scheme?,This scheme provides free textbooks to students from 1st to 12th standard in Adi Dravidar and Tribal welfare schools.
adtwstb,Adi Dravidar and Tribal Welfare Department: Stationary-Text Books,Who qualifies for free textbooks under this scheme?,Students enrolled in Adi Dravidar and Tribal welfare schools from 1st to 12th standard.
aduw-hbocwwb,Assistance On Death Of The Unregistered Worker (HBOCWWB),What is the “Assistance on Death of the Unregistered Worker (HBOCWWB)” scheme?,"Under the scheme, financial assistance of [?]2,50,000/- is provided by the Board to the legal heir/dependent family member of an unregistered worker who dies in an accident at the workplace."
aduw-hbocwwb,Assistance On Death Of The Unregistered Worker (HBOCWWB),Which department has launched this scheme?,"Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana"
adwb,Accidental Benefit,What is the age requirement for registration as a beneficiary under the Building and Other Construction Workers Welfare Board of West Bengal?,The building worker must be at least 18 years old and not older than 60 years old.
adwb,Accidental Benefit,Is there a minimum service requirement to register as a beneficiary?,"Yes, the building worker must have completed 90 days of service as a building worker in the preceding 12 months."
ae,Agricultural Extension,What is the minimum and maximum age of the scheme ?,The scheme is open to the age group of 18 to 60 years.
ae,Agricultural Extension,What is the official website to apply for the scheme ?,Official webSite : www.agriclinics.net
aeaits,Art Exhibition Assistance in the State,"Who is eligible to apply for financial assistance under the ""Art Exhibition Assistance in the State"" scheme?","An applicant is eligible for financial assistance under the ""Art Exhibition Assistance in the State"" scheme if they are an original resident of Gujarat, have received a formal art education or have previously organized an individual or group art exhibition, and if they plan to exhibit a minimum of 3"
aeaits,Art Exhibition Assistance in the State,"What kind of exhibitions are supported under the ""Art Exhibition Assistance in the State"" scheme?","The scheme supports physical art exhibitions that are organized within the boundaries of Gujarat, provided the artist exhibits at least 30 original works of art, regardless of whether the exhibition is individual or group-based."
aeaos,Assistance for Exhibitions Abroad and Out of State,"What is the objective of the ""Assistance for Exhibitions Abroad and Out of State"" scheme?","The primary objective of the ""Assistance for Exhibitions Abroad and Out of State"" scheme is to promote and support artists from Gujarat by providing them with financial assistance to organize their exhibitions outside the state and internationally, thereby helping them gain broader exposure and reco"
aeaos,Assistance for Exhibitions Abroad and Out of State,"Who is eligible to apply for the ""Assistance for Exhibitions Abroad and Out of State"" scheme?","Any artist who is originally from Gujarat and has previously organized either 3 to 5 solo exhibitions or 5 to 8 group exhibitions in the field of fine arts such as painting, sculpture, graphic arts, or photography is eligible to apply for the ""Assistance for Exhibitions Abroad and Out of State"" sche"
